Serial No,movie_id,movie_name,year,genre,overview,director,cast,poster_url,rating,votes
1516,tt3449292,Manjhi: The Mountain Man,2015,"Biography, Drama","Using only a hammer and a chisel, a man spends twenty-two years carving a road through a treacherous mountain.",Ketan Mehta,"Nawazuddin Siddiqui, Radhika Apte, Ashutosh Acharya",https://m.media-amazon.com/images/M/MV5BODEyMGViNjQtM2MyZi00YzMzLTk1MjAtODBjOGFhNDljZjJjXkEyXkFqcGc@._V1_SX300.jpg,8.0,20272
1517,tt0268456,Meri Adaalat,1984,"Action, Thriller",A tough cop takes the law into his own hands to take revenge on the killers of his sister and her lover.,A.T. Raghu,"Rajinikanth, Zeenat Aman, Sonia Sahni",https://m.media-amazon.com/images/M/MV5BODEzNjRlNGYtZjc1MC00ZDcwLTlkODgtZDE0NGM1YzZmM2MxXkEyXkFqcGdeQXVyOTk3NTc2MzE@._V1_SX300.jpg,5.3,36
1518,tt4088588,Rainbow,2015,"Comedy, Drama","Believing actor and goodwill ambassador Shah Rukh Khan can help her brother get an operation to restore his sight, a 10-year old girl takes her blind 8-year old brother on a trek across Rajasthan in search of the superstar.",Nagesh Kukunoor,"Hetal Gada, Krrish Chhabria, Vipin Sharma",https://m.media-amazon.com/images/M/MV5BZDhlMTA2NjctYWRmNC00MzE5LWFhNGEtNTUyZTIyZGUzZTE3XkEyXkFqcGc@._V1_SX300.jpg,7.8,4560
1519,tt0150718,Gharaonda,1977,"Drama, Romance","A story young, middle-class urban working couple wanting to get married and their tribulations in finding a house in the city of Mumbai.",Bhimsain,"Amol Palekar, Zarina Wahab, Sadhu Meher",https://m.media-amazon.com/images/M/MV5BZjc3MDVkZWEtMGNhNS00ODBmLTliZTUtZDNmZTMxMzk1ZTYzXkEyXkFqcGc@._V1_SX300.jpg,7.2,261
1520,tt0284811,Aarzoo,1999,"Action, Drama, Romance","After her fiance, Vijay, is killed in a crash, a pregnant Pooja agrees to marry Amar, her childhood friend who has always loved her. But her life takes yet another turn when Vijay returns to her life.",Lawrence D'Souza,"Madhuri Dixit, Akshay Kumar, Saif Ali Khan",https://m.media-amazon.com/images/M/MV5BOGQ3NDZlMDAtNDIxMS00ZmNiLWJjY2QtODEyYmE1OTM1N2FiXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_SX300.jpg,5.0,1671
1521,tt2321163,ABCD (Any Body Can Dance),2013,"Drama, Music","When a capable dancer is provoked by the evil design of his employer, naturally he will be out to prove his mettle.",Remo D'Souza,"Prabhu Deva, Ganesh Acharya, Kay Kay Menon",https://m.media-amazon.com/images/M/MV5BMTU3NTk0NjE5Nl5BMl5BanBnXkFtZTcwMTU2ODMwOQ@@._V1_SX300.jpg,6.3,7594
1522,tt0158574,Dahleez,1986,"Action, Drama","Mrignaini and Shekhar love each other, but due to a misunderstanding, Mrignaini decides to leave him. She then marries another man. Her life comes crashing down when Shekhar reappears in her life.",Ravi Chopra,"Jackie Shroff, Raj Babbar, Meenakshi Sheshadri",https://m.media-amazon.com/images/M/MV5BMTg3NzQ0NjY2OV5BMl5BanBnXkFtZTcwMDYzODE1Mg@@._V1_SX300.jpg,5.3,79
1523,tt0078418,Trishul,1978,"Action, Drama, Musical","An engineer visiting a town, has a brief affair with a local girl and walks off, leaving her with a child. The son grows up to avenge his deserted mother. Vijay is the angry young man playing the son.",Yash Chopra,"Sanjeev Kumar, Amitabh Bachchan, Shashi Kapoor",https://m.media-amazon.com/images/M/MV5BNTY0Yjg0ODktMjcwZS00OTg0LWFkYjMtMTU3YzY1OTlkYTMyXkEyXkFqcGc@._V1_SX300.jpg,7.6,2563
1524,tt0120540,Yes Boss,1997,"Comedy, Drama, Musical","Rahul Joshi wants to be a successful businessman so he works hard for his boss Siddharth. One day Rahul meets Seema, an up and coming model, and he feels like he's finally met his match. Will Seema fall for Rahul?",Aziz Mirza,"Shah Rukh Khan, Juhi Chawla, Aditya Pancholi",https://m.media-amazon.com/images/M/MV5BOWJjNDVjNDQtODg3Ny00MmU2LTkwNjMtNjAwMzlmMWUyMmNlXkEyXkFqcGc@._V1_SX300.jpg,6.7,14482
1525,tt0115484,Agni Sakshi,1996,"Drama, Musical, Romance",Newly married Suraj and Shivangi are on honeymoon where they meet Vishwanath - who claims that Shivangi is his wife.,Partho Ghosh,"Jackie Shroff, Nana Patekar, Manisha Koirala",https://m.media-amazon.com/images/M/MV5BNmYxNzBkZjAtZDVlYy00ZjFkLWE0NTktYTc5NWRlNzI4MGRkXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_SX300.jpg,6.2,793
1526,tt0102071,Hum,1991,"Action, Comedy, Drama","A dockworker overthrows the tyranny of a cruel gangster but has to run away to make a new life for himself and his brothers. Fifteen years later, his past catches up with him as his old enemy resurfaces.",Mukul Anand,"Amitabh Bachchan, Rajinikanth, Govinda",https://m.media-amazon.com/images/M/MV5BMGVhZmM5YWItODA2My00Y2M1LTk1NzktZGFlMDBhNjMwOWIxXkEyXkFqcGc@._V1_SX300.jpg,6.9,3445
1527,tt0293342,Lajja,2001,"Action, Crime, Drama",The lives of four women from different places are the victims of male chauvinism and marital abuse. They decide to fight for their rights and dignity against the social norms and injustice.,Rajkumar Santoshi,"Manisha Koirala, Jackie Shroff, Madhuri Dixit",https://m.media-amazon.com/images/M/MV5BYTczZjQ0OWUtYjgyMS00YTdjLTg2NmUtMWVlYjVmMGQxYmQzXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_SX300.jpg,6.6,2927
1528,tt1522329,Tum Mile,2009,"Drama, Romance",Two former lovers experience life-threatening floods in Mumbai.,Kunal Deshmukh,"Emraan Hashmi, Soha Ali Khan, Prerna Chawla",https://m.media-amazon.com/images/M/MV5BODFlZjU2YzUtYjRjMy00YTczLTgyMjUtMDNkY2RiNzA0ZmE0XkEyXkFqcGc@._V1_SX300.jpg,5.0,1918
1529,tt21260998,Haryana,2022,Comedy,"Haryana is a story of 3 brothers. Mahender is the eldest one who takes care of everything, be it farming fields, transport business or the well-being of all his family members. Jaibeer, the second brother who studies in Hisar univ...",Sandeep Baswana,"Yash Tonk, Ashlesha Sawant, Robbie Marih",https://m.media-amazon.com/images/M/MV5BMTJmODMwYWUtY2Y3ZC00M2NkLWEzMzgtMjFlODUwMzRlNWE3XkEyXkFqcGdeQXVyMjEzNzg4NjU@._V1_SX300.jpg,6.7,189
1530,tt0487149,Chetna: The Excitement,2005,Thriller,An ambitious businesswoman falls in love with her employee an ruins his family life. His wife takes on this situation and takes it to another level. Excitement truly unfolds when power meets lust.,Partho Ghosh,"Jatin Garewal, Kiran Kumar, Navnit Ravi Rana",https://m.media-amazon.com/images/M/MV5BYjY5NTU1NjMtN2FiNi00MDNkLTlhZTItMTAxYzhlNjdlNGYxXkEyXkFqcGdeQXVyNjQ2MjQ5NzM@._V1_SX300.jpg,3.1,50
1531,tt4302956,Kis Kisko Pyaar Karoon,2015,"Comedy, Romance","A comedy or errors, wherein a married man attempts to juggle his three wives along with his current girlfriend.","Abbas Alibhai Burmawalla, Mastan Alibhai Burmawalla, Abinash Rout","Kapil Sharma, Simran Kaur Mundi, Manjari Fadnnis",https://m.media-amazon.com/images/M/MV5BM2EzZjdlN2QtMmRkOC00MGZlLWIyZWUtYzFlYzdmOTRjNjRjXkEyXkFqcGc@._V1_SX300.jpg,5.6,6464
1532,tt0347278,Jhankaar Beats,2003,"Comedy, Music, Romance","This is a story about love, friendship and music. Two copywriter brothers have lost in pop music contest called Jhankaar Beats for the last two years. They take the help of an apprentice to compete in a music contest.",Sujoy Ghosh,"Sanjay Suri, Rahul Bose, Juhi Chawla",https://m.media-amazon.com/images/M/MV5BZTc1MTllODktZGY1Ny00NTVlLWE3ZTgtZjY0YjZmN2U0YmE2XkEyXkFqcGc@._V1_SX300.jpg,7.1,2194
1533,tt0210659,Dulhe Raja,1998,Comedy,"Poor Raja opens a fast food restaurant right opposite a five star hotel run by it's owner Singhania, earning his wrath. The wealthy hotel owner uses all his influence to remove Raja, but in vain. Things get worse for the wealthy m...",Harmesh Malhotra,"Govinda, Raveena Tandon, Kader Khan",https://m.media-amazon.com/images/M/MV5BOWQwY2Q5YWQtZWJhZi00NmFjLWI1NDktOTc2MmEwN2QzYzBkXkEyXkFqcGc@._V1_SX300.jpg,6.8,3400
1534,tt0405266,Raincoat,2004,"Drama, Romance","All he wanted was to see her just once. Manu was from a village in the backwoods. Neeru was the girl next door, his lost love.",Rituparno Ghosh,"Ajay Devgn, Aishwarya Rai Bachchan, Annu Kapoor",https://m.media-amazon.com/images/M/MV5BOTQ0YTk2YWQtYTA2ZS00NDViLTgwNzYtOTRkN2NkNzM5MzBlXkEyXkFqcGc@._V1_SX300.jpg,7.7,5236
1535,tt1039995,U Me Aur Hum,2008,"Drama, Romance","Ajay's life turns upside down when he learns that his wife Piya has Alzheimer and he has no option, but to leave his wife in a mental hospital.",Ajay Devgn,"Ajay Devgn, Kajol, Sumeet Raghavan",https://m.media-amazon.com/images/M/MV5BZjlmOGRkNDUtZjE0Mi00YzFhLWE2MDgtMDZiNWM5MDY5NmE4XkEyXkFqcGc@._V1_SX300.jpg,5.8,2700
1536,tt0314005,Dulhan,1974,Drama,"Radha is a kind, compassionate, and a simple minded village belle whose life has been shattered due to the sudden death of her groom on her wedding night. She is in denial and awaits his return. One day a look-alike enters the vil...",C.V. Rajendran,"David Abraham, Agha, Nasir Hussain",https://m.media-amazon.com/images/M/MV5BNWVkMDFhM2YtZDVmYS00YWIwLThhNWItNDdlYzcyYjJhNjQ0XkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_SX300.jpg,6.9,42
1537,tt19864958,Maja Ma,2022,"Comedy, Drama","A rumor about Pallavi Patel, a quintessential, middle aged, devoted housewife who is famous for her dance and cooking, threatens to disrupt her middle-class family's ethos, on the eve of her son Tejas' engagement with a rich, NRI ...",Anand Tiwari,"Madhuri Dixit, Ritwik Bhowmik, Barkha Singh",https://m.media-amazon.com/images/M/MV5BZmIzNDg4MmEtYWU5Ni00OTc2LThjZDItN2NjOGY2MDIwNTA3XkEyXkFqcGc@._V1_SX300.jpg,6.2,2782
1538,tt15048606,Lost,2022,"Drama, Thriller","An emotional thriller that represents a higher quest, a search for lost values of empathy and integrity.",Aniruddha Roy Chowdhury,"Yami Gautam, Pankaj Kapur, Rahul Khanna",https://m.media-amazon.com/images/M/MV5BZTBmMTI3ODktZTFlZS00YTQ4LWJhMDEtNzlmMzE4ZjQ1NDczXkEyXkFqcGc@._V1_SX300.jpg,5.7,6246
1539,tt9108892,Harami,2020,"Crime, Drama, Romance","An orphan teenage pickpocket working in the trains of Mumbai along with his gang, embarks on a life-altering journey when faced by the daughter of one of his victims who's committed suicide after being robbed.",Shyam P. Madiraju,"Emraan Hashmi, Rizwan Shaikh, Dhanshree Patil",https://m.media-amazon.com/images/M/MV5BZjk4ODA2NzYtNTJhNi00OWNmLWJhMTktMjRhY2M3NWFhNmQxXkEyXkFqcGc@._V1_SX300.jpg,7.4,1152
1540,tt0359213,Ek Aur Ek Gyarah,1981,"Action, Thriller",A young beautiful-looking woman sells liquor while her boyfriend is stuck in prison.,Ashok Roy,"Shashi Kapoor, Vinod Khanna, Neetu Singh",https://m.media-amazon.com/images/M/MV5BOGJlMTIxNjYtMmY5OC00ZGMyLWI4MDEtNDk1ZDgzYzU5NWRlXkEyXkFqcGdeQXVyNTM0MDc1ODE@._V1_SX300.jpg,6.4,61
1541,tt6997642,Ribbon,2017,"Drama, Family",A young working urban couple is overwhelmed with the birth of a baby girl and find that parenthood comes with its own challenges.,Rakhee Sandilya,"Kalki Koechlin, Sumeet Vyas, Pathy Aiyar",https://m.media-amazon.com/images/M/MV5BNTgyNDJmZjctZGU0NS00NTk5LTg3NDEtZjY1NDk2MzU2NjE3XkEyXkFqcGc@._V1_SX300.jpg,6.9,696
1542,tt6173990,Gold,2018,"Drama, History, Sport",The journey of a man who was instrumental in making India win its first Olympic gold medal as a free nation.,Reema Kagti,"Krishan Tandon, Hubertus Geller, Siddharth Kher",https://m.media-amazon.com/images/M/MV5BNTljNjlhNWUtYmRkZi00NDRhLWJlNTgtMDE5MjQxZDY4ZTkyXkEyXkFqcGc@._V1_SX300.jpg,7.3,14918
1543,tt0779768,Teesri Aankh: The Hidden Camera,2006,"Action, Crime, Thriller","About women who are trapped, used and abused by hidden cameras.",Harry Baweja,"Sunny Deol, Ameesha Patel, Neha Dhupia",https://m.media-amazon.com/images/M/MV5BNGRkODM1OTYtNGRmYi00NjAyLWE0YTQtM2NhMDUyMWQwODU2XkEyXkFqcGc@._V1_SX300.jpg,2.7,351
1544,tt0286488,Barood,1998,"Action, Crime, Drama","Jai, a police officer embarks on the mission to eliminate his enemies, who destroyed his life.",Pramod Chakravorty,"Rakhee Gulzar, Akshay Kumar, Raveena Tandon",https://m.media-amazon.com/images/M/MV5BNDA0YTFkNTAtZTYzZi00YTc4LTlhMmItMzBiMjUzOTA4ODlmXkEyXkFqcGc@._V1_SX300.jpg,4.6,716
1545,tt0172704,Lal Baadshah,1999,"Action, Crime, Drama","Lal Singh (Amitabh Bachchan) lives with his mother (Nirupa Roy) in a small basti in Bombay and grows up with the poor and needy, who call him Lal Badshah. He's a helpful person dead-set against crime. In the same city lives Vikram...",K.C. Bokadia,"Amitabh Bachchan, Manisha Koirala, Shilpa Shetty Kundra",https://m.media-amazon.com/images/M/MV5BYmI2NjczMzctNjk5Zi00YWM2LTg5Y2QtNzIxMzkwZWY5MTU0XkEyXkFqcGc@._V1_SX300.jpg,3.3,723
1546,tt6712014,Fukrey Returns,2017,Comedy,"Just out of jail, a don is ready to get back at the four friends who conned her.",Mrighdeep Lamba,"Pulkit Samrat, Varun Sharma, Ali Fazal",https://m.media-amazon.com/images/M/MV5BMmRlNmYxODItNWYyNy00ZGU2LTk0NzMtZTNlMWJhODM4ZjdiXkEyXkFqcGc@._V1_SX300.jpg,6.5,6565
1547,tt0391165,Dudes in the 10th Century,2003,"Adventure, Comedy, Family","Bombay City lives in fear of a notorious thief who calls himself Chindi Chor, and steals whenever and whatever he desires without any regard to security, and police protection. When Ghoshal announces the exhibition and subsequent ...",Imtiaz Punjabi,"Paresh Rawal, Iqbal Khan, Anuj Sawhney",https://m.media-amazon.com/images/M/MV5BNzczMjk2NTA1NF5BMl5BanBnXkFtZTcwNjcwMDMwNA@@._V1_SX300.jpg,4.7,1092
1548,tt2939912,Traffic,2016,"Adventure, Drama, Thriller",An emotional thriller based on a road trip from Mumbai to Pune. Inspired from the real events that happened in Chennai,Rajesh Pillai,"Manoj Bajpayee, Jimmy Shergill, Prasenjit Chatterjee",https://m.media-amazon.com/images/M/MV5BOTY0M2Q0OWUtNjlkNS00NDA3LWI3MjktMWUzZDFhZjMwZjkyXkEyXkFqcGdeQXVyMjQwOTU5NTg@._V1_SX300.jpg,6.7,2728
1549,tt0266439,Dacait,1987,"Action, Drama","Arjun Yadav return from the city after completing his studies to get settled in his village with his family consisting of his mother Devi Chaudaran, his older brother Amrit and sister. Arjun finds out that Amrit and Thakur Bhanwar...",Rahul Rawail,"Rakhee Gulzar, Sunny Deol, Meenakshi Sheshadri",https://m.media-amazon.com/images/M/MV5BMWYxMDAzNjktMGU0Zi00OTI3LTliMTQtODUzODExYTIwNGM4XkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_SX300.jpg,6.5,329
1550,tt5290620,Kyaa Kool Hain Hum 3,2016,Comedy,"A porn actor uses his fellow adult movie stars in creating a fake traditional family, in order to impress his girlfriend's conservative father.",Umesh Ghadge,"Tusshar Kapoor, Aftab Shivdasani, Krushna Abhishek",https://m.media-amazon.com/images/M/MV5BMDBkNWE4YmEtMGJlOS00MDJjLWE3ZmUtMjAzOGI4OGQ1NjY2XkEyXkFqcGc@._V1_SX300.jpg,2.0,4558
1551,tt0068938,Mere Jeevan Saathi,1972,"Drama, Adventure, Action","A talented artist (Rajesh Khanna) falls in love with a London-returned doctor, but his past creates problems for him. When that part of his past is resolved and he is to marry the girl he loves, he loses his eyesight in an acciden...",Ravikant Nagaich,"Rajesh Khanna, Tanuja Samarth, Sujit Kumar",https://m.media-amazon.com/images/M/MV5BOGQwODVmZjEtZTdkMy00MTRmLWI0ZDktYjQyNmU2NDc5NjA5XkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_SX300.jpg,6.8,223
1552,tt0165625,Ankhiyon Ke Jharokhon Se,1978,"Drama, Family, Romance","A young man must deal with a broken engagement ceremony, while his to-be fiancée waits to be treated for blood cancer.",Hiren Nag,"Sachin Pilgaonkar, Ranjeeta Kaur, Madan Puri",https://m.media-amazon.com/images/M/MV5BZjViMWU5MDgtNjVhYS00NGJlLTllZDMtMTkwZTM3MjA2NjFhXkEyXkFqcGdeQXVyMDkwNTkwNg@@._V1_SX300.jpg,7.6,452
1553,tt0396255,Tirchhi Topiwale,1998,"Comedy, Drama, Musical","Anand (Chunky Pandey) is a small-time con artist. He has fallen in love with a rich and wealthy girl, Shikha Oberoi. Shikha also has fallen in love with Anand, but her parents want her to marry Amit Mehra (Inder Kumar). On Amit's ...",Nadeem Khan,"Inder Kumar, Chunky Pandey, Monica Bedi",https://m.media-amazon.com/images/M/MV5BMTM2NjQwZDAtMTExNy00NGVkLTkxYjctZTFkOWEyNmRlMzYyL2ltYWdlXkEyXkFqcGdeQXVyMjQ2MjgyNjY@._V1_SX300.jpg,5.3,68
1554,tt0338477,Talaash: The Hunt Begins...,2003,"Action, Crime, Drama",-The Hunt Begins- For them it was revenge. For him it was a challenge. A timeless ride on a ferocious mission.,Suneel Darshan,"Rakhee Gulzar, Akshay Kumar, Kareena Kapoor",https://m.media-amazon.com/images/M/MV5BZGUwMzMyOWYtOWI5OC00MjVjLWI2ODctZTg2ZWU5NGVmYmZiXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_SX300.jpg,4.3,1613
1555,tt0364604,Plan,2004,"Action, Comedy, Crime","To pay off their gambling debt, four best friends kidnap an organized crime figure having mistaken him for a wealthy businessman.",Hriday Shetty,"Sanjay Dutt, Priyanka Chopra Jonas, Dino Morea",https://m.media-amazon.com/images/M/MV5BMDk5NGZiYzQtYmEyZS00ZjBmLTllYjMtZWIzY2Q4NjlhMjQxXkEyXkFqcGdeQXVyMTY4MjU0NDY3._V1_SX300.jpg,4.4,951
1556,tt1314274,Hulla,2008,"Comedy, Drama",A stockbroker who moves into a flat finds that he cannot sleep because of the loud whistle blown by the night-watchman. This leads him into conflict with the building's secretary who insists on the use of the whistle.,Jaideep Varma,"Sushant Singh, Kartika Rane, Rajat Kapoor",https://m.media-amazon.com/images/M/MV5BZjJkMWMwNTUtMDliZC00YmY4LTg5MzUtN2Q2MWE5M2ZkOWNmXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_SX300.jpg,6.4,264
1557,tt0385351,Yeh Lamhe Judaai Ke,2004,"Drama, Mystery, Romance","Dushyant and Jaya are childhood friends. In spite of his familys poverty, Dushyant has one great ambition in life: to become a successful singer. Will he achieve his ambition?","Pavan Kaul, Birendra Nath Tiwari","Shah Rukh Khan, Raveena Tandon, Navneet Nishan",https://m.media-amazon.com/images/M/MV5BYzEzYjIwYzQtZjMxOC00N2I1LWEwMjItNzljYTJiMDg0MmEzXkEyXkFqcGc@._V1_SX300.jpg,3.1,1951
1558,tt0158698,Karm,1977,"Drama, Family","Asha and Arvind are in love but are not allowed to marry by her astrologer father. They start living together and plan to start a family without getting married, but fate intervenes.",B.R. Chopra,"Rajesh Khanna, Vidya Sinha, Shabana Azmi",https://m.media-amazon.com/images/M/MV5BNDY1YTQ2ZGUtMmZkOS00YTRjLWJjMWYtOGZhZGYxM2JkMjRmXkEyXkFqcGc@._V1_SX300.jpg,6.6,93
1559,tt0085178,Ardh Satya,1983,"Crime, Drama","A newly appointed police rookie deals with corruption, romance, and brutality.",Govind Nihalani,"Om Puri, Smita Patil, Amrish Puri",https://m.media-amazon.com/images/M/MV5BNjE4YjZiZmMtZTE5Zi00YmIzLTkzZWItZjA5ZGMxMDEyOWRlXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_SX300.jpg,8.1,1947
1560,tt0099652,Ghayal,1990,"Action, Crime, Drama","Ajay is framed by Balwant Rai for his brother's murder and sent to prison. Later, he befriends three convicts and sets out to seek revenge against Balwant Rai.",Rajkumar Santoshi,"Sunny Deol, Amrish Puri, Meenakshi Sheshadri",https://m.media-amazon.com/images/M/MV5BNDJiN2M4M2ItYjE4ZS00MGMzLTk3NjQtNzI1NzhmMTllYjY1XkEyXkFqcGc@._V1_SX300.jpg,7.7,5148
1561,tt0046673,Aar-Paar,1954,"Musical, Romance, Thriller","An ex-convict gets a job as a taxi driver to change his girlfriend's prejudiced father's view of him, and becomes embroiled with a criminal gang in the process.",Guru Dutt,"Shyama, Guru Dutt, Jagdish Sethi",https://m.media-amazon.com/images/M/MV5BMDllMzczOTctZjk0ZS00ZGM3LTkzYWMtYmE3Y2E2MDM3NzZlXkEyXkFqcGdeQXVyOTUyNjcwOTY@._V1_SX300.jpg,6.6,349
1562,tt1083447,Buddha Mar Gaya,2007,Comedy,A rich industrialist pops it just before the IPO of his company - the family must now conceal his death till all the shares are sold.,Rahul Rawail,"Mona Ambegaonkar, Jitender Bhargava, Birbal",https://m.media-amazon.com/images/M/MV5BNWRjNTIxMjItN2Y1Ny00Mzk0LTk0YWEtMDEwOTA1NzM0ZThjXkEyXkFqcGc@._V1_SX300.jpg,3.0,431
1563,tt1223922,Blue,2009,"Action, Adventure, Mystery","A group of people, facing a lot of challenges, decide to hunt down lost treasure en route to India.",Anthony D'Souza,"Akshay Kumar, Sanjay Dutt, Lara Dutta",https://m.media-amazon.com/images/M/MV5BYTQwYzEyODEtMTc0MS00YmVjLWEyYWItNGExYmJiZGJiNDAxXkEyXkFqcGc@._V1_SX300.jpg,3.8,5356
1564,tt0453729,Iqbal,2005,"Drama, Sport","Iqbal, the deaf and mute son of a farmer, has a passion for the game of cricket and seeks the tutelage of a washed-up, alcoholic ex-player.",Nagesh Kukunoor,"Shreyas Talpade, Naseeruddin Shah, Shweta Basu Prasad",https://m.media-amazon.com/images/M/MV5BMzM5NTgwMWMtY2IxMS00YWY0LTg5YmQtNWEzNjhlOTAzZWY5XkEyXkFqcGc@._V1_SX300.jpg,8.1,17874
1565,tt3531604,Gang of Ghosts,2014,"Comedy, Horror","A group of ghosts reside in an old house and live in harmony despite cultural differences. However, when they learn that a builder plans to demolish the building, they come together to stop him.",Satish Kaushik,"Sharman Joshi, Mahie Gill, Govardhan Asrani",https://m.media-amazon.com/images/M/MV5BNTI5YTcxMjItYWQzOS00ODc1LWJjMzYtNGExOWY0OGFiYTI5XkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_SX300.jpg,3.6,445
1566,tt9071180,Burning,2018,"Short, Drama","'Burning' is a conversation between two young mothers brought together by strange and cruel social realities, at a funeral ghat in Varanasi.",Sanoj,"Ketaki Narayan, Rukshana Tabassum, Abhinav Shukla",https://m.media-amazon.com/images/M/MV5BNjdkYTZmMjctY2EzYy00M2RiLWFmYzItMjMxMWU4ZDg2MTQyXkEyXkFqcGc@._V1_SX300.jpg,Not Available,Not Available
1567,tt9061618,Ghode Ko Jalebi Khilane Le Ja Riya Hoon,2019,Drama,"A testament of time written in Old Delhi, past and present plotted in its lanes. The narrative moves like a homeless migrant, changing space and structure with each unfolding event, living in the twilight between the real and the ...",Anamika Haksar,"Ravindra Sahu, Raghubir Yadav, Gopalan",https://m.media-amazon.com/images/M/MV5BZDZhNDE3YTgtZDllNi00N2U1LWE5ODQtNTZiZmNhMjY5NzYxXkEyXkFqcGdeQXVyMjQ5MDEyMTA@._V1_SX300.jpg,7.0,104
1568,tt0231796,Insaniyat Ke Dushman,1987,"Action, Drama","Jagmohan, a prominent businessman with underworld dealings, approaches renowned advocate Kailash Nath, to represent his son who has been charged with murder and may face the death penalty. Kailash refuses to do so, and Jagmohan's ...",Rajkumar Kohli,"Dharmendra, Shatrughan Sinha, Anita Raj",https://m.media-amazon.com/images/M/MV5BNDg0ZTI3NWItNDcwZi00Y2FjLWIzMDktZjliZWMyMjZmMDgzXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_SX300.jpg,4.6,78
1569,tt2454134,Karamati Coat,1993,"Comedy, Family, Fantasy","Raghu is a poor school going child. One day a magical stranger gifts him a red coat. Raghu discovers that whenever he puts his hand in the coats pocket, a rupee appears. He and his friends have a good time with this endless supply...",Ajay Karthik,"Prachi Save, Swapnesh Sawant, Vikram Acharya",https://m.media-amazon.com/images/M/MV5BZTVkNGFlY2MtNDcyMy00OGQ2LWFlOTktMWViOGUyM2ZiNjk0XkEyXkFqcGc@._V1_SX300.jpg,7.4,251
1570,tt4826742,Chidiya,2022,Drama,"The film is moving around the story of two kids aged 9 and 10, their dreams and the flight of their imaginations. Vinay Pathak is playing the role of their uncle who helps them to achieve what they want. Amruta Subhash is playing ...",Mehran Amrohi,"Svar Kamble, Ayush Pathak, Vinay Pathak",https://m.media-amazon.com/images/M/MV5BMThlOGVkNTMtNzA2Yi00YmZhLThhOTQtMmVjYWFmNWM1MzM1XkEyXkFqcGdeQXVyNTE4MTM5OA@@._V1_SX300.jpg,6.7,17
1571,tt3453964,Jugni,2016,Drama,"Jugni (Firefly) is the beat of the soul, the free-flying spirit. Jugni is Vibhavari (Vibs). Vibs is a music director, working on her first big break in the Hindi film industry. When work and home affairs, with her live-in boyfrien...","Shefali Bhushan, Jatinkumar Jagdishbhai Patel, Vishalkumar Bharatbhai Nai","Anurita Jha, Sadhana Singh, Sugandha Garg",https://m.media-amazon.com/images/M/MV5BMzM3M2MzYTMtZjlkMy00MThkLWE1ZWMtYzNjMDI0ZmQ5ZDI5XkEyXkFqcGdeQXVyNjU2ODkyODg@._V1_SX300.jpg,6.1,148
1572,tt4906984,Azhar,2016,"Biography, Drama, Sport","Biographical sports drama based on the life of former Indian international cricketer, Mohammad Azharuddin",Anthony D'Souza,"Emraan Hashmi, Nargis Fakhri, Prachi Desai",https://m.media-amazon.com/images/M/MV5BMzkwMGZhYmQtOTJmMC00Zjc2LWI4NTEtY2RkNmM2YzAyMTg5XkEyXkFqcGc@._V1_SX300.jpg,5.7,6061
1573,tt0231214,Bade Ghar Ki Beti,1989,Drama,"Thakur Din Dayal is a family and village patriarch living with his wife and three married sons Murli,Manohar and Girdhar who do nothing but enjoy his wealth while other son Gopal and daughter Pushpa are till not married.Thakur com...",Kalpataru,"Shammi Kapoor, Rishi Kapoor, Meenakshi Sheshadri",https://m.media-amazon.com/images/M/MV5BNGM1MTRmNWQtY2U5Ni00YTM3LTlhMGItY2M1NjM0YzJlMzI3XkEyXkFqcGc@._V1_SX300.jpg,6.1,92
1574,tt0158585,Dharmputra,1961,Drama,"The story of two families, that of Nawab Badruddin and Gulshan Rai, living in an India under British rule, sharing life's ups and downs together almost as one family together.",Yash Chopra,"Mala Sinha, Shashi Kapoor, Rehman Khan",https://m.media-amazon.com/images/M/MV5BNjVkY2RkMjktMjNmYS00OWQ5LTgxODYtYWJkMzViMWUxYTkwXkEyXkFqcGdeQXVyNjkyMzE4NTM@._V1_SX300.jpg,7.0,129
1575,tt0270219,Baat Ban Jaye,1986,Comedy,"Mr. Singh lives a wealthy lifestyle in a mansion named 'Ashiana' on 10th Road, Juhu, Bombay, with his only relative, a niece by the name of Nisha, who is unmarried and runs the family's business that faces strong opposition from K...",Bharat Rangachary,"Zeenat Aman, Amol Palekar, Utpal Dutt",https://m.media-amazon.com/images/M/MV5BMmI2NjNkMTMtNTIzZi00NWVkLWE0OWMtMzlkM2U4NGU0OGJjXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_SX300.jpg,6.3,191
